TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
140280627,0.04077323,1.47,0.07807885,-2.23,0.117536,92.67,1000,1000,1000,1000,,,,,,,,
140385431,0.0768021,1.46,0.07023101,-2.23,0.03949669,92.67,1000,1000,1000,1000,,,,,,,,
140492827,0.0548298,1.46,0.07470644,-2.23,0.08481605,92.66,1000,1000,1000,1000,,,,,,,,
140705544,0.1356935,1.46,-0.01750644,-2.23,0.01622585,92.66,1000,1000,1000,1000,,,,,,,,
140805598,-0.0465216,1.46,0.108285,-2.22,-0.01729344,92.66,1000,1000,1000,1000,,,,,,,,
140905591,-0.004179515,1.46,0.1066993,-2.21,0.08132681,92.65,1000,1000,1000,1000,,,,,,,,
141006151,0.04971436,1.47,0.1134538,-2.21,-0.01418183,92.66,1000,1000,1000,1000,,,,,,,,
141105811,0.0366407,1.46,0.07894129,-2.21,-0.003024678,92.65,1000,1000,1000,1000,,,,,,,,
141205852,0.1251648,1.46,0.07434271,-2.21,0.05711753,92.65,1000,1000,1000,1000,,,,,,,,
141305885,-0.009875066,1.46,0.1113959,-2.21,0.001418153,92.65,1000,1000,1000,1000,,,,,,,,
141405892,-0.02077132,1.47,0.07868321,-2.2,0.06760888,92.65,1000,1000,1000,1000,,,,,,,,
141505890,-0.01559328,1.47,0.08404753,-2.2,-0.02832314,92.65,1000,1000,1000,1000,,,,,,,,
141605866,0.07726818,1.47,0.1049571,-2.19,0.05951476,92.65,1000,1000,1000,1000,,,,,,,,
141705995,0.1068705,1.47,0.06336924,-2.19,0.01377111,92.65,1000,1000,1000,1000,,,,,,,,
141805950,0.05914633,1.48,0.06654677,-2.18,0.1318057,92.65,1000,1000,1000,1000,,,,,,,,
141905944,-0.0358221,1.48,0.09354032,-2.17,-0.003378516,92.65,1000,1000,1000,1000,,,,,,,,
142005970,0.005323418,1.48,0.1673859,-2.16,0.14585,92.64,1000,1000,1000,1000,,,,,,,,
